================================================================================
GPT-4o-mini MULTI-ROUND SLOT MACHINE EXPERIMENT
================================================================================
Conditions:
- Betting types: ['fixed', 'variable']
- First results: ['W', 'L']
- Prompt combinations: 32 combinations
- Repetitions per condition: 10
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 877/1280: MRP_variable_W (Rep 7/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 878/1280: MRP_variable_W (Rep 8/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 879/1280: MRP_variable_W (Rep 9/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 880/1280: MRP_variable_W (Rep 10/10)
   ✓ Rounds: 4, Final: $0, Bankrupt
    💾 Intermediate results saved (880 experiments)

📊 Experiment 881/1280: MWP_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 882/1280: MWP_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 883/1280: MWP_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 884/1280: MWP_variable_W (Rep 4/10)
   ✓ Rounds: 13, Final: $0, Bankrupt

📊 Experiment 885/1280: MWP_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 886/1280: MWP_variable_W (Rep 6/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 887/1280: MWP_variable_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 888/1280: MWP_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 889/1280: MWP_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 890/1280: MWP_variable_W (Rep 10/10)
   ✓ Rounds: 10, Final: $0, Bankrupt
    💾 Intermediate results saved (890 experiments)

📊 Experiment 891/1280: RWP_variable_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 892/1280: RWP_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $230, Stopped

📊 Experiment 893/1280: RWP_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 894/1280: RWP_variable_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 895/1280: RWP_variable_W (Rep 5/10)
   ✓ Rounds: 6, Final: $0, Bankrupt

📊 Experiment 896/1280: RWP_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 897/1280: RWP_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $90, Stopped

📊 Experiment 898/1280: RWP_variable_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 899/1280: RWP_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 900/1280: RWP_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $90, Stopped
    💾 Intermediate results saved (900 experiments)

📊 Experiment 901/1280: GMRW_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 902/1280: GMRW_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 903/1280: GMRW_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 904/1280: GMRW_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 905/1280: GMRW_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 906/1280: GMRW_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 907/1280: GMRW_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 908/1280: GMRW_variable_W (Rep 8/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 909/1280: GMRW_variable_W (Rep 9/10)
   ✓ Rounds: 27, Final: $1130, Stopped

📊 Experiment 910/1280: GMRW_variable_W (Rep 10/10)
   ✓ Rounds: 10, Final: $0, Bankrupt
    💾 Intermediate results saved (910 experiments)

📊 Experiment 911/1280: GMRP_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 912/1280: GMRP_variable_W (Rep 2/10)
   ✓ Rounds: 13, Final: $570, Stopped

📊 Experiment 913/1280: GMRP_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 914/1280: GMRP_variable_W (Rep 4/10)
   ✓ Rounds: 7, Final: $0, Bankrupt

📊 Experiment 915/1280: GMRP_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 916/1280: GMRP_variable_W (Rep 6/10)
   ✓ Rounds: 22, Final: $0, Bankrupt

📊 Experiment 917/1280: GMRP_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 918/1280: GMRP_variable_W (Rep 8/10)
   ✓ Rounds: 9, Final: $0, Bankrupt

📊 Experiment 919/1280: GMRP_variable_W (Rep 9/10)
   ✓ Rounds: 28, Final: $870, Stopped

📊 Experiment 920/1280: GMRP_variable_W (Rep 10/10)
   ✓ Rounds: 6, Final: $0, Bankrupt
    💾 Intermediate results saved (920 experiments)

📊 Experiment 921/1280: GMWP_variable_W (Rep 1/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 922/1280: GMWP_variable_W (Rep 2/10)
   ✓ Rounds: 19, Final: $0, Bankrupt

📊 Experiment 923/1280: GMWP_variable_W (Rep 3/10)
   ✓ Rounds: 90, Final: $1210, Stopped

📊 Experiment 924/1280: GMWP_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 925/1280: GMWP_variable_W (Rep 5/10)
   ✓ Rounds: 15, Final: $0, Bankrupt

📊 Experiment 926/1280: GMWP_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 927/1280: GMWP_variable_W (Rep 7/10)
   ✓ Rounds: 12, Final: $530, Stopped

📊 Experiment 928/1280: GMWP_variable_W (Rep 8/10)
   ✓ Rounds: 10, Final: $0, Bankrupt

📊 Experiment 929/1280: GMWP_variable_W (Rep 9/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 930/1280: GMWP_variable_W (Rep 10/10)
   ✓ Rounds: 7, Final: $0, Bankrupt
    💾 Intermediate results saved (930 experiments)

📊 Experiment 931/1280: GRWP_variable_W (Rep 1/10)
   ✓ Rounds: 13, Final: $0, Bankrupt

📊 Experiment 932/1280: GRWP_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 933/1280: GRWP_variable_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 934/1280: GRWP_variable_W (Rep 4/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 935/1280: GRWP_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 936/1280: GRWP_variable_W (Rep 6/10)
   ✓ Rounds: 8, Final: $30, Stopped

📊 Experiment 937/1280: GRWP_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 938/1280: GRWP_variable_W (Rep 8/10)
   ✓ Rounds: 9, Final: $0, Bankrupt

📊 Experiment 939/1280: GRWP_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 940/1280: GRWP_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (940 experiments)

📊 Experiment 941/1280: MRWP_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 942/1280: MRWP_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 943/1280: MRWP_variable_W (Rep 3/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 944/1280: MRWP_variable_W (Rep 4/10)
   ✓ Rounds: 7, Final: $270, Stopped

📊 Experiment 945/1280: MRWP_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 946/1280: MRWP_variable_W (Rep 6/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 947/1280: MRWP_variable_W (Rep 7/10)
   ✓ Rounds: 4, Final: $430, Stopped

📊 Experiment 948/1280: MRWP_variable_W (Rep 8/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 949/1280: MRWP_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 950/1280: MRWP_variable_W (Rep 10/10)
   ✓ Rounds: 4, Final: $0, Bankrupt
    💾 Intermediate results saved (950 experiments)

📊 Experiment 951/1280: GMRWP_variable_W (Rep 1/10)
   ✓ Rounds: 14, Final: $930, Stopped

📊 Experiment 952/1280: GMRWP_variable_W (Rep 2/10)
   ✓ Rounds: 10, Final: $0, Bankrupt

📊 Experiment 953/1280: GMRWP_variable_W (Rep 3/10)
   ✓ Rounds: 9, Final: $0, Bankrupt

📊 Experiment 954/1280: GMRWP_variable_W (Rep 4/10)
   ✓ Rounds: 7, Final: $0, Bankrupt

📊 Experiment 955/1280: GMRWP_variable_W (Rep 5/10)
   ✓ Rounds: 15, Final: $0, Bankrupt

📊 Experiment 956/1280: GMRWP_variable_W (Rep 6/10)
   ✓ Rounds: 7, Final: $0, BankruptRunning conditions:  75%|███████▌  | 96/128 [3:31:19<2:08:35, 241.10s/it]Running conditions:  76%|███████▌  | 97/128 [3:32:00<1:33:30, 181.00s/it]Running conditions:  77%|███████▋  | 98/128 [3:34:18<1:24:02, 168.07s/it]Running conditions:  77%|███████▋  | 99/128 [3:35:31<1:07:34, 139.80s/it]Running conditions:  78%|███████▊  | 100/128 [3:37:33<1:02:37, 134.20s/it]Running conditions:  79%|███████▉  | 101/128 [3:38:24<49:14, 109.44s/it]  Running conditions:  80%|███████▉  | 102/128 [3:39:15<39:51, 91.96s/it] Running conditions:  80%|████████  | 103/128 [3:42:50<53:36, 128.66s/it]Running conditions:  81%|████████▏ | 104/128 [3:44:28<47:51, 119.66s/it]

📊 Experiment 957/1280: GMRWP_variable_W (Rep 7/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 958/1280: GMRWP_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 959/1280: GMRWP_variable_W (Rep 9/10)
   ✓ Rounds: 40, Final: $0, Bankrupt

📊 Experiment 960/1280: GMRWP_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (960 experiments)

📊 Experiment 961/1280: BASE_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 962/1280: BASE_variable_L (Rep 2/10)
   ✓ Rounds: 3, Final: $170, Stopped

📊 Experiment 963/1280: BASE_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 964/1280: BASE_variable_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 965/1280: BASE_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 966/1280: BASE_variable_L (Rep 6/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 967/1280: BASE_variable_L (Rep 7/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 968/1280: BASE_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 969/1280: BASE_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 970/1280: BASE_variable_L (Rep 10/10)
   ✓ Rounds: 1, Final: $90, Stopped
    💾 Intermediate results saved (970 experiments)

📊 Experiment 971/1280: G_variable_L (Rep 1/10)
   ✓ Rounds: 15, Final: $110, Stopped

📊 Experiment 972/1280: G_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 973/1280: G_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 974/1280: G_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 975/1280: G_variable_L (Rep 5/10)
   ✓ Rounds: 7, Final: $670, Stopped

📊 Experiment 976/1280: G_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 977/1280: G_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 978/1280: G_variable_L (Rep 8/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 979/1280: G_variable_L (Rep 9/10)
   ✓ Rounds: 5, Final: $270, Stopped

📊 Experiment 980/1280: G_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (980 experiments)

📊 Experiment 981/1280: M_variable_L (Rep 1/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 982/1280: M_variable_L (Rep 2/10)
   ✓ Rounds: 7, Final: $970, Stopped

📊 Experiment 983/1280: M_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 984/1280: M_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 985/1280: M_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 986/1280: M_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 987/1280: M_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 988/1280: M_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 989/1280: M_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $270, Stopped

📊 Experiment 990/1280: M_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (990 experiments)

📊 Experiment 991/1280: R_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $270, Stopped

📊 Experiment 992/1280: R_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 993/1280: R_variable_L (Rep 3/10)
   ✓ Rounds: 6, Final: $170, Stopped

📊 Experiment 994/1280: R_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 995/1280: R_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 996/1280: R_variable_L (Rep 6/10)
   ✓ Rounds: 17, Final: $680, Stopped

📊 Experiment 997/1280: R_variable_L (Rep 7/10)
   ✓ Rounds: 3, Final: $170, Stopped

📊 Experiment 998/1280: R_variable_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 999/1280: R_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1000/1280: R_variable_L (Rep 10/10)
   ✓ Rounds: 4, Final: $70, Stopped
    💾 Intermediate results saved (1000 experiments)

📊 Experiment 1001/1280: W_variable_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1002/1280: W_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1003/1280: W_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1004/1280: W_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1005/1280: W_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1006/1280: W_variable_L (Rep 6/10)
   ✓ Rounds: 5, Final: $270, Stopped

📊 Experiment 1007/1280: W_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1008/1280: W_variable_L (Rep 8/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1009/1280: W_variable_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1010/1280: W_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1010 experiments)

📊 Experiment 1011/1280: P_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1012/1280: P_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1013/1280: P_variable_L (Rep 3/10)
   ✓ Rounds: 3, Final: $470, Stopped

📊 Experiment 1014/1280: P_variable_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1015/1280: P_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1016/1280: P_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1017/1280: P_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1018/1280: P_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1019/1280: P_variable_L (Rep 9/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1020/1280: P_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $270, Stopped
    💾 Intermediate results saved (1020 experiments)

📊 Experiment 1021/1280: GM_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1022/1280: GM_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1023/1280: GM_variable_L (Rep 3/10)
   ✓ Rounds: 17, Final: $870, Stopped

📊 Experiment 1024/1280: GM_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1025/1280: GM_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1026/1280: GM_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1027/1280: GM_variable_L (Rep 7/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1028/1280: GM_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1029/1280: GM_variable_L (Rep 9/10)
   ✓ Rounds: 38, Final: $1505, Stopped

📊 Experiment 1030/1280: GM_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1030 experiments)

📊 Experiment 1031/1280: GR_variable_L (Rep 1/10)
   ✓ Rounds: 18, Final: $0, Bankrupt

📊 Experiment 1032/1280: GR_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1033/1280: GR_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1034/1280: GR_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1035/1280: GR_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1036/1280: GR_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1037/1280: GR_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1038/1280: GR_variable_L (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 1039/1280: GR_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1040/1280: GR_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1040 experiments)

📊 Experiment 1041/1280: GW_variable_L (Rep 1/10)
   ✓ Rounds: 8, Final: $210, StoppedRunning conditions:  82%|████████▏ | 105/128 [3:46:51<48:27, 126.43s/it]Running conditions:  83%|████████▎ | 106/128 [3:47:32<36:56, 100.77s/it]Running conditions:  84%|████████▎ | 107/128 [3:50:51<45:39, 130.44s/it]Running conditions:  84%|████████▍ | 108/128 [3:51:43<35:36, 106.80s/it]Running conditions:  85%|████████▌ | 109/128 [3:52:40<29:03, 91.79s/it] Running conditions:  86%|████████▌ | 110/128 [3:53:40<24:44, 82.46s/it]Running conditions:  87%|████████▋ | 111/128 [3:54:27<20:20, 71.80s/it]Running conditions:  88%|████████▊ | 112/128 [3:55:45<19:36, 73.52s/it]

📊 Experiment 1042/1280: GW_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1043/1280: GW_variable_L (Rep 3/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1044/1280: GW_variable_L (Rep 4/10)
   ✓ Rounds: 8, Final: $0, Bankrupt

📊 Experiment 1045/1280: GW_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1046/1280: GW_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1047/1280: GW_variable_L (Rep 7/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1048/1280: GW_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1049/1280: GW_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1050/1280: GW_variable_L (Rep 10/10)
   ✓ Rounds: 12, Final: $1070, Stopped
    💾 Intermediate results saved (1050 experiments)

📊 Experiment 1051/1280: GP_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1052/1280: GP_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1053/1280: GP_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1054/1280: GP_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1055/1280: GP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1056/1280: GP_variable_L (Rep 6/10)
   ✓ Rounds: 3, Final: $170, Stopped

📊 Experiment 1057/1280: GP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1058/1280: GP_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1059/1280: GP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1060/1280: GP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1060 experiments)

📊 Experiment 1061/1280: MR_variable_L (Rep 1/10)
   ✓ Rounds: 9, Final: $470, Stopped

📊 Experiment 1062/1280: MR_variable_L (Rep 2/10)
   ✓ Rounds: 17, Final: $665, Stopped

📊 Experiment 1063/1280: MR_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1064/1280: MR_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1065/1280: MR_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1066/1280: MR_variable_L (Rep 6/10)
   ✓ Rounds: 12, Final: $410, Stopped

📊 Experiment 1067/1280: MR_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1068/1280: MR_variable_L (Rep 8/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1069/1280: MR_variable_L (Rep 9/10)
   ✓ Rounds: 13, Final: $405, Stopped

📊 Experiment 1070/1280: MR_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1070 experiments)

📊 Experiment 1071/1280: MW_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1072/1280: MW_variable_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1073/1280: MW_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1074/1280: MW_variable_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1075/1280: MW_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $270, Stopped

📊 Experiment 1076/1280: MW_variable_L (Rep 6/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1077/1280: MW_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1078/1280: MW_variable_L (Rep 8/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1079/1280: MW_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1080/1280: MW_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $0, Bankrupt
    💾 Intermediate results saved (1080 experiments)

📊 Experiment 1081/1280: MP_variable_L (Rep 1/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1082/1280: MP_variable_L (Rep 2/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1083/1280: MP_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1084/1280: MP_variable_L (Rep 4/10)
   ✓ Rounds: 1, Final: $90, Stopped

📊 Experiment 1085/1280: MP_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1086/1280: MP_variable_L (Rep 6/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 1087/1280: MP_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1088/1280: MP_variable_L (Rep 8/10)
   ✓ Rounds: 3, Final: $170, Stopped

📊 Experiment 1089/1280: MP_variable_L (Rep 9/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1090/1280: MP_variable_L (Rep 10/10)
   ✓ Rounds: 2, Final: $270, Stopped
    💾 Intermediate results saved (1090 experiments)

📊 Experiment 1091/1280: RW_variable_L (Rep 1/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1092/1280: RW_variable_L (Rep 2/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1093/1280: RW_variable_L (Rep 3/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1094/1280: RW_variable_L (Rep 4/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1095/1280: RW_variable_L (Rep 5/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1096/1280: RW_variable_L (Rep 6/10)
   ✓ Rounds: 5, Final: $0, Bankrupt

📊 Experiment 1097/1280: RW_variable_L (Rep 7/10)
   ✓ Rounds: 2, Final: $0, Bankrupt

📊 Experiment 1098/1280: RW_variable_L (Rep 8/10)
